"Time (s)"	"Angular velocity (rad/s)"	"Acceleration (m/s^2)"
5.531832420E-1	5.521419079E-3	4.238998533E-2
1.054495498E0	5.308764490E-3	2.209576699E-2
1.555838271E0	5.528712157E-3	2.623335951E-2
2.057181045E0	5.479753735E-3	3.099567659E-2
2.558523818E0	5.276128125E-3	3.165108545E-2
3.059836074E0	5.574064256E-3	3.105204874E-2
3.561209365E0	5.691695964E-3	3.142386245E-2
4.062521621E0	5.488739476E-3	3.170649621E-2
4.563894912E0	3.793236920E-4	2.379562865E-2
5.566549941E0	3.465316953E-4	5.846583420E-3
6.067892715E0	4.353299565E-4	4.667075497E-3
6.569235488E0	2.369543692E-1	1.673390975E-2
7.070547744E0	6.223254994E-1	3.154336817E-2
7.571887218E0	1.033346173E0	7.677921210E-2
8.073229992E0	1.394870862E0	1.379373279E-1
8.574572765E0	1.892626895E0	2.187254618E-1
9.075915539E0	2.370822223E0	3.135272357E-1
9.577258312E0	2.863111778E0	4.255675674E-1
1.007860109E1	3.367587324E0	5.392486195E-1
1.057991334E1	3.908896445E0	6.869483371E-1
1.108125612E1	4.517150073E0	8.723371405E-1
1.158262941E1	5.115473944E0	1.078276446E0
1.208394166E1	5.709833756E0	1.305545682E0
1.258531495E1	6.337583776E0	1.586714538E0
1.308662721E1	6.943299048E0	1.874871795E0
1.358796998E1	7.568469923E0	2.201091009E0
1.408931276E1	8.185523597E0	2.549134651E0
1.459065553E1	8.797143536E0	2.912892183E0
1.509196779E1	9.408223142E0	3.316612980E0
1.559331056E1	1.001921590E1	3.735960269E0
1.609465333E1	1.062390076E1	4.186376154E0
1.659602662E1	1.122320627E1	4.661383608E0
1.709733888E1	1.181761112E1	5.149350774E0
1.759871021E1	1.240380549E1	5.652145972E0
1.810002247E1	1.298148846E1	6.181728168E0
1.860136524E1	1.355094015E1	6.719658564E0
1.910273853E1	1.410546558E1	7.277329309E0
1.960405079E1	1.465047436E1	7.837087492E0
2.010539356E1	1.518636569E1	8.411443166E0
2.060673633E1	1.571147150E1	8.991443545E0
2.110807911E1	1.622149998E1	9.579256993E0
2.160942188E1	1.671362250E1	1.014609573E1
2.211076465E1	1.719615535E1	1.072753567E1
2.261210743E1	1.766599289E1	1.130845186E1
2.311345020E1	1.812176093E1	1.189947153E1
2.361479297E1	1.856862247E1	1.248476249E1
2.411613575E1	1.899689768E1	1.306290034E1
2.461744800E1	1.941493506E1	1.363897486E1
2.511882129E1	1.982459397E1	1.419762972E1
2.562016407E1	2.022625171E1	1.478392664E1
2.612150684E1	2.047873864E1	1.514864847E1
2.662284962E1	1.985410811E1	1.424585785E1
2.712419239E1	1.931068243E1	1.349293308E1
2.762553616E1	1.922668421E1	1.337572239E1
2.812684842E1	1.915949436E1	1.328578576E1
2.862816067E1	1.909250173E1	1.319191814E1
2.912953396E1	1.902998266E1	1.310468942E1
2.963087674E1	1.896625656E1	1.301785154E1
