"Time (s)"	"Angular velocity (rad/s)"	"Acceleration (m/s^2)"
3.013218899E1	1.890533463E1	1.293770959E1
3.063356228E1	1.884531619E1	1.285667407E1
3.113490506E1	1.878200991E1	1.276529896E1
3.163621731E1	1.871857067E1	1.268233737E1
3.213756008E1	1.865995365E1	1.260555331E1
3.263893338E1	1.859894801E1	1.252470761E1
3.314027615E1	1.853074059E1	1.242914349E1
3.364161892E1	1.847237198E1	1.235087360E1
3.414296170E1	1.842268178E1	1.228585282E1
3.464427395E1	1.836936931E1	1.221952967E1
3.514564724E1	1.832197757E1	1.215539592E1
3.564695950E1	1.827324918E1	1.209743250E1
3.614833279E1	1.822844974E1	1.203617360E1
3.664970608E1	1.818019742E1	1.197123593E1
3.715104885E1	1.813508679E1	1.191257894E1
3.765237974E1	1.808765176E1	1.184860176E1
3.815372251E1	1.804074059E1	1.179429519E1
3.865506528E1	1.799082990E1	1.172949259E1
3.915640806E1	1.793979890E1	1.166155729E1
3.965775083E1	1.789415947E1	1.160287921E1
4.015909360E1	1.784447929E1	1.153577099E1
4.066043638E1	1.778913368E1	1.146720685E1
4.116177915E1	1.773845158E1	1.140091897E1
4.166312192E1	1.769139240E1	1.133940524E1
4.216446470E1	1.764139709E1	1.127226477E1
4.316715024E1	1.754410233E1	1.115266530E1
4.366849302E1	1.749226074E1	1.108655708E1
4.416983579E1	1.744718903E1	1.102817542E1
4.467117856E1	1.710237043E1	1.060873646E1
4.517252134E1	1.675837764E1	1.019706844E1
4.567386411E1	1.720068693E1	1.072654541E1
4.617523740E1	1.765417373E1	1.128933724E1
4.667654966E1	1.809416487E1	1.185990782E1
4.717792295E1	1.852640231E1	1.242096934E1
4.767927169E1	1.894348416E1	1.298750975E1
4.818061447E1	1.934975502E1	1.354313672E1
4.868195724E1	1.974552352E1	1.408235830E1
4.918326949E1	2.013113440E1	1.463932874E1
4.968461227E1	2.050382753E1	1.518120153E1
5.018595504E1	2.086692996E1	1.570898873E1
5.068729782E1	2.121730691E1	1.623364036E1
5.118864059E1	2.154935014E1	1.674055301E1
5.168998336E1	2.187255406E1	1.724681078E1
5.219132614E1	2.218475545E1	1.773402667E1
5.269269943E1	2.248727756E1	1.821777459E1
5.319401168E1	2.277744173E1	1.868506733E1
5.369535446E1	2.305574243E1	1.914457506E1
5.419669723E1	2.332490724E1	1.958875255E1
5.469804000E1	2.358751382E1	2.002062182E1
5.519941329E1	2.383851417E1	2.044146764E1
5.570075607E1	2.344573008E1	1.992035787E1
5.620209884E1	2.295210674E1	1.880538396E1
5.670344161E1	2.274180854E1	1.865708529E1
5.720478439E1	2.253892945E1	1.834593912E1
5.770612324E1	2.234309561E1	1.798873412E1
5.820749653E1	2.215255671E1	1.767303485E1
5.870880878E1	2.196916968E1	1.738998883E1
5.921015156E1	2.179278993E1	1.712474959E1
5.971152485E1	2.161795064E1	1.684648199E1
6.021286762E1	2.144789041E1	1.658420759E1
6.071421040E1	2.128611959E1	1.633302377E1
6.121556603E1	2.112879003E1	1.609714167E1
6.171690881E1	2.097301313E1	1.586311326E1
6.221825158E1	2.082139776E1	1.563606374E1
6.271959435E1	2.067491463E1	1.542783697E1
6.322093713E1	2.053035263E1	1.521690671E1
6.372227990E1	2.039394424E1	1.501731909E1
6.422362267E1	2.025658096E1	1.482344448E1
6.472499596E1	2.012514628E1	1.462698127E1
6.522633874E1	1.999970300E1	1.444320003E1
6.572768151E1	1.987835987E1	1.426580135E1
6.622899377E1	1.975975511E1	1.409439298E1
6.673036706E1	1.964076599E1	1.393941930E1
6.723170983E1	1.952693954E1	1.378650405E1
6.773304389E1	1.941762662E1	1.363485184E1
6.823438667E1	1.930876886E1	1.348167433E1
6.873575996E1	1.920607920E1	1.334378074E1
6.923707221E1	1.910069850E1	1.319709806E1
6.973844550E1	1.900281302E1	1.306347685E1
7.023978828E1	1.890492767E1	1.293089961E1
7.074113106E1	1.881067934E1	1.280231493E1
7.124244331E1	1.871534717E1	1.267422547E1
7.174381660E1	1.862493946E1	1.255684110E1
7.224515938E1	1.853251576E1	1.242807924E1
7.274650215E1	1.844763994E1	1.231611113E1
7.324787544E1	1.836043776E1	1.220499956E1
7.374921822E1	1.828039040E1	1.209808596E1
7.425056099E1	1.819782042E1	1.199387702E1
7.475190376E1	1.812149964E1	1.189258579E1
7.525321602E1	1.804453278E1	1.179504453E1
7.575461983E1	1.797389422E1	1.170840143E1
7.625593208E1	1.790446845E1	1.161256724E1
7.675730537E1	1.783556775E1	1.152062983E1
7.725864815E1	1.777165886E1	1.144004692E1
7.775998918E1	1.770368181E1	1.135185420E1
7.826133195E1	1.764047651E1	1.126819579E1
7.926405020E1	1.751155096E1	1.110534140E1
7.976539297E1	1.745413502E1	1.103129728E1
8.026673575E1	1.726415241E1	1.079941861E1
8.076807852E1	1.699723494E1	1.047305292E1
8.126939078E1	1.742358247E1	1.099479101E1
8.177076407E1	1.785062734E1	1.154108482E1
8.227210684E1	1.827038693E1	1.208258743E1
8.277348013E1	1.867615611E1	1.261961971E1
8.327482291E1	1.907273153E1	1.315645923E1
8.377613516E1	1.945037410E1	1.367762962E1
8.427750845E1	1.982337934E1	1.418770266E1
8.477885123E1	2.018511159E1	1.471470562E1
8.528022452E1	2.053850085E1	1.522903483E1
8.578156729E1	2.088359281E1	1.572911875E1
8.628287955E1	2.121472814E1	1.622469584E1
8.678422232E1	2.153655882E1	1.671814740E1
8.728559561E1	2.184793287E1	1.720804382E1
8.778693577E1	2.214666890E1	1.766943958E1
8.828830906E1	2.243687479E1	1.812869046E1
8.878965184E1	2.272049798E1	1.858890726E1
8.929099461E1	2.299245426E1	1.903340227E1
8.979233738E1	2.325403660E1	1.946386039E1
9.029368016E1	2.350605483E1	1.988244044E1
9.079502293E1	2.375177972E1	2.029124585E1
9.129636570E1	2.398577391E1	2.068629159E1
9.179770848E1	2.421055849E1	2.108020435E1
9.229908177E1	2.442627469E1	2.145512427E1
9.280042454E1	2.463288866E1	2.181335335E1
9.330173680E1	2.483295229E1	2.215558012E1
9.380311009E1	2.502683732E1	2.250592877E1
9.430448338E1	2.521202785E1	2.283511896E1
9.480582615E1	2.539154635E1	2.315475550E1
9.530716892E1	2.555954390E1	2.346181659E1
9.580851170E1	2.571581964E1	2.375548071E1
9.630985447E1	2.586897665E1	2.403888298E1
9.681122776E1	2.601551271E1	2.430892032E1
9.731257054E1	2.615625602E1	2.456274769E1
9.781393280E1	2.629143195E1	2.483203219E1
9.831527558E1	2.642062356E1	2.506873834E1
9.881661835E1	2.654519037E1	2.529444361E1
9.931796113E1	2.666526119E1	2.550918995E1
9.981930390E1	2.678097020E1	2.573378668E1
1.003206772E2	2.689065826E1	2.595047313E1
1.008220200E2	2.699382057E1	2.614484728E1
1.013233627E2	2.709422459E1	2.633438072E1
1.018247055E2	2.718887689E1	2.651899197E1
1.023260788E2	2.727770574E1	2.669183684E1
1.028274216E2	2.736079667E1	2.685609285E1
1.033287643E2	2.744438093E1	2.702148980E1
1.038301071E2	2.752324962E1	2.717670468E1
1.043314804E2	2.760059201E1	2.732775246E1
1.048328232E2	2.767379116E1	2.747158396E1
1.053341660E2	2.774439792E1	2.760354185E1
1.058355087E2	2.781147705E1	2.773181522E1
1.063368515E2	2.787597020E1	2.786215450E1
1.068382248E2	2.793582373E1	2.799136629E1
1.073395676E2	2.799326213E1	2.809874811E1
1.078408997E2	2.804597282E1	2.820768320E1
1.083422424E2	2.809738295E1	2.831570043E1
1.088436157E2	2.814817020E1	2.841940896E1
1.093449585E2	2.819412580E1	2.851024651E1
1.098463013E2	2.824037615E1	2.860644182E1
1.103476440E2	2.828361998E1	2.868553318E1
1.108489868E2	2.832545237E1	2.877249849E1
1.116010162E2	2.836113359E1	2.889374945E1
1.123530457E2	2.841893699E1	2.894630741E1
1.128543884E2	2.844547491E1	2.900023471E1
1.133557617E2	2.847073010E1	2.905401019E1
1.138571045E2	2.849843856E1	2.911490389E1
1.143584473E2	2.852650951E1	2.917325399E1
1.148597900E2	2.855426922E1	2.923186891E1
1.153611633E2	2.857896145E1	2.927983341E1
1.158625061E2	2.860095238E1	2.932190472E1
1.163638489E2	2.862263389E1	2.937016345E1
1.168651916E2	2.864393723E1	2.941345342E1
1.173665649E2	2.866398981E1	2.945176483E1
1.178679011E2	2.868331597E1	2.949375330E1
1.183692439E2	2.870263022E1	2.952853172E1
1.188705867E2	2.871971541E1	2.956336561E1
1.193719295E2	2.873232146E1	2.959031100E1
1.198733028E2	2.874803127E1	2.962509190E1
1.203746150E2	2.875721275E1	2.964399396E1
1.208759883E2	2.876480479E1	2.965795066E1
1.213773311E2	2.877821223E1	2.968551000E1
1.218786739E2	2.878305134E1	2.969249325E1
1.223800471E2	2.877603507E1	2.967683584E1
1.228813899E2	2.878034351E1	2.969280930E1
1.233827327E2	2.879199661E1	2.971350564E1
1.238841060E2	2.879897484E1	2.972606129E1
1.243854488E2	2.880924549E1	2.974556477E1
1.248867915E2	2.881795311E1	2.976315538E1
1.253881648E2	2.882746205E1	2.978506968E1
1.258895076E2	2.883335697E1	2.979441204E1
1.263908504E2	2.883927320E1	2.981000386E1
1.268921931E2	2.884576552E1	2.982324726E1
1.273935664E2	2.884535320E1	2.982007549E1
1.278949048E2	2.884597333E1	2.982642327E1
1.283962476E2	2.885097251E1	2.983520754E1
1.288975904E2	2.885545405E1	2.984226335E1
1.293989637E2	2.886188054E1	2.985738654E1
1.299003064E2	2.880590390E1	2.974235085E1
1.304016492E2	2.880009797E1	2.972635738E1
1.309029615E2	2.813281124E1	2.852114503E1
1.314043653E2	2.710676804E1	2.630113469E1
1.319057080E2	2.658250413E1	2.543712280E1
1.324070508E2	2.620425685E1	2.469396445E1
1.329083631E2	2.584029276E1	2.398777456E1
1.334097364E2	2.549117382E1	2.332807329E1
1.339110791E2	2.515617755E1	2.272687178E1
1.344124219E2	2.483461175E1	2.215105205E1
1.349137952E2	2.452219608E1	2.161110947E1
1.354151685E2	2.422165007E1	2.109212603E1
1.359165113E2	2.393041822E1	2.058417864E1
1.364178846E2	2.365119208E1	2.011556567E1
1.369191968E2	2.338171447E1	1.966872524E1
1.374205701E2	2.312057227E1	1.924460695E1
1.379219253E2	2.275942695E1	1.864729146E1
1.384232680E2	2.191774303E1	1.752275414E1
1.389246413E2	2.104171533E1	1.574470594E1
1.394259536E2	2.019222409E1	1.474068989E1
1.399273269E2	1.935869386E1	1.356367954E1
1.404286696E2	1.854764975E1	1.243098590E1
1.409300124E2	1.774864710E1	1.140787225E1
1.414313857E2	1.697072459E1	1.044556192E1
1.419327285E2	1.620245825E1	9.543243374E0
1.424341018E2	1.545195701E1	8.689446504E0
1.429354751E2	1.471439241E1	7.899677830E0
1.434368178E2	1.398510254E1	7.144359007E0
1.439381606E2	1.326378345E1	6.430986789E0
1.444395034E2	1.255129043E1	5.778207129E0
1.449408767E2	1.184574059E1	5.168884933E0
1.454421889E2	1.114520444E1	4.594576822E0
1.459435927E2	1.044340136E1	4.047771839E0
1.464449050E2	9.749104452E0	3.545512162E0
1.469462783E2	9.061295006E0	3.080697200E0
1.474476211E2	8.356088589E0	2.652686185E0
1.479489892E2	7.653905850E0	2.255346132E0
1.484503320E2	6.963637408E0	1.887003697E0
1.489517053E2	6.241474512E0	1.548291504E0
1.499543908E2	4.812205682E0	9.839730370E-1
1.504557641E2	4.060563321E0	7.581904772E-1
1.509571069E2	3.332559707E0	5.657032217E-1
1.514584497E2	2.550369224E0	3.950438063E-1
1.519598230E2	1.618282687E0	2.430297009E-1
