"Time (s)"	"Angular velocity (rad/s)"	"Acceleration (m/s^2)"
5.823281414E1	2.752333407E1	2.937536095E1
5.873417217E1	2.751930214E1	2.936717905E1
5.923551494E1	2.751109079E1	2.935275441E1
5.973686673E1	2.750498090E1	2.933322391E1
6.023820951E1	2.750177217E1	2.932736434E1
6.073955228E1	2.749741140E1	2.932326807E1
6.124091031E1	2.749030876E1	2.930758893E1
6.174226834E1	2.748563329E1	2.929986189E1
6.224361112E1	2.747862459E1	2.928582388E1
6.274498441E1	2.747136460E1	2.926297862E1
6.324631192E1	2.746358620E1	2.924803588E1
6.374766996E1	2.745312220E1	2.922506466E1
6.424901273E1	2.744484039E1	2.921238582E1
6.475035550E1	2.743807853E1	2.918972816E1
6.525171353E1	2.743322966E1	2.918253598E1
6.575305631E1	2.742709578E1	2.917404489E1
6.625442960E1	2.741629181E1	2.914852538E1
6.675575711E1	2.740584849E1	2.913208620E1
6.725711515E1	2.739522743E1	2.910676695E1
6.775847318E1	2.738686553E1	2.908448796E1
6.825981595E1	2.737637953E1	2.906532735E1
6.876115872E1	2.736671634E1	2.904480675E1
6.926251676E1	2.735811945E1	2.902533949E1
6.976387311E1	2.734797222E1	2.900809137E1
7.026521589E1	2.733573530E1	2.897461303E1
7.076654340E1	2.732818213E1	2.895735744E1
7.126790143E1	2.731884465E1	2.894155055E1
7.176925946E1	2.730848387E1	2.891749378E1
7.227060224E1	2.729764524E1	2.889695323E1
7.277196027E1	2.728513532E1	2.887484998E1
7.327330304E1	2.726304155E1	2.883585377E1
7.377467634E1	2.657102293E1	2.780724079E1
7.427600385E1	2.549260235E1	2.545856946E1
7.477736188E1	2.446133602E1	2.349047747E1
7.527870466E1	2.347141318E1	2.165034108E1
7.578006269E1	2.251908780E1	1.969288499E1
7.628140546E1	2.160680549E1	1.838249709E1
7.678276349E1	2.072319698E1	1.687487085E1
7.728412152E1	1.987213743E1	1.528217220E1
7.778547956E1	1.904717902E1	1.429263970E1
7.828680707E1	1.824459304E1	1.300846395E1
7.878818036E1	1.746840194E1	1.198881896E1
7.928953840E1	1.671721781E1	1.096180439E1
7.979086521E1	1.598057592E1	1.003662618E1
8.029222324E1	1.526491522E1	9.183912158E0
8.079356602E1	1.456662374E1	8.372832172E0
8.129490879E1	1.388443593E1	7.617760301E0
8.179628208E1	1.321197380E1	6.913001092E0
8.229762486E1	1.255546252E1	6.244741590E0
8.279896763E1	1.191112360E1	5.636576170E0
8.330031040E1	1.127376776E1	5.066776329E0
8.380168369E1	1.064884809E1	4.539240679E0
8.430301121E1	1.002713173E1	4.036693689E0
8.480441502E1	9.420305216E0	3.572502963E0
8.530575779E1	8.812788844E0	3.146905843E0
8.580708531E1	8.196777462E0	2.738441980E0
8.630845860E1	7.614745843E0	2.396698113E0
8.706047276E1	7.000264860E0	1.735436928E0
8.756183079E1	6.403804327E0	1.446319408E0
8.806317356E1	5.811316631E0	1.191545733E0
8.856453159E1	5.213577283E0	9.457286258E-1
8.906587437E1	4.554120961E0	7.584910130E-1
8.956724117E1	4.014554006E0	5.928882999E-1
9.031927936E1	2.633049697E0	4.197611549E-1
9.082062213E1	2.046128672E0	3.266381402E-1
9.132196491E1	1.450398608E0	1.882855917E-1
9.182330768E1	8.177276937E-1	1.908369580E-1
9.232468097E1	4.030424199E-2	6.197776361E-2
