"Time (s)"	"Angular velocity (rad/s)"	"Acceleration (m/s^2)"
5.592197120E-1	1.189415511E-4	8.733627305E-3
1.060623521E0	3.669294049E-4	6.773390163E-3
1.562027329E0	3.164075788E-4	4.487348005E-3
2.063431138E0	3.264796271E-4	1.330270853E-3
2.564804429E0	2.126247537E-2	1.064287239E-2
3.066197301E0	3.840695153E-1	9.524687211E-3
3.567631627E0	8.163629905E-1	2.936824317E-2
4.069004918E0	1.261246948E0	9.231768753E-2
5.071812535E0	2.113215455E0	2.233490055E-1
5.573185826E0	2.625526441E0	3.278868768E-1
6.074589635E0	3.193030889E0	4.685706118E-1
6.575962926E0	3.699762176E0	6.218368088E-1
7.077336217E0	4.173738423E0	7.737850562E-1
7.578770543E0	4.723520606E0	9.611683137E-1
8.080174352E0	5.250851207E0	1.177849439E0
8.581547643E0	5.759929570E0	1.408174490E0
9.082920934E0	6.313375713E0	1.681038239E0
9.584355260E0	6.833374693E0	1.956943209E0
1.008572855E1	7.378815450E0	2.276879173E0
1.058713236E1	7.916067509E0	2.600899243E0
1.108853617E1	8.448744476E0	2.950337419E0
1.158990946E1	8.994363257E0	3.335676466E0
1.209131327E1	9.528127586E0	3.730473674E0
1.259271708E1	1.005345077E1	4.155319500E0
1.309411606E1	1.058255080E1	4.602475190E0
1.359548935E1	1.110852783E1	5.059462683E0
1.409689316E1	1.162852626E1	5.532099854E0
1.459826645E1	1.214045701E1	6.025212594E0
1.509967026E1	1.264567789E1	6.528697501E0
1.560107407E1	1.314420563E1	7.057034917E0
1.610244736E1	1.363211550E1	7.587800444E0
1.660388168E1	1.410897626E1	8.122513687E0
1.710525498E1	1.457847330E1	8.667282912E0
1.760665878E1	1.503749344E1	9.222950332E0
1.810806259E1	1.548779765E1	9.767426994E0
1.860943588E1	1.592784716E1	1.032221171E1
1.911083969E1	1.635573089E1	1.087666360E1
1.961224350E1	1.677191285E1	1.144210991E1
2.011364731E1	1.717673855E1	1.199431325E1
2.061502060E1	1.757406008E1	1.255852663E1
2.111642441E1	1.795744268E1	1.311170149E1
2.161782822E1	1.833379511E1	1.366201244E1
2.211923203E1	1.869605371E1	1.419683748E1
2.262060532E1	1.904777048E1	1.474121238E1
2.312201263E1	1.938630802E1	1.526279380E1
2.362338592E1	1.971612965E1	1.577398060E1
2.412478973E1	2.003483077E1	1.628907642E1
2.462619354E1	2.034741136E1	1.680466476E1
2.512759735E1	2.064526010E1	1.729198214E1
2.562900116E1	2.093482097E1	1.777428544E1
2.613037445E1	2.121562801E1	1.826019430E1
2.663177826E1	2.148419598E1	1.872766569E1
2.713318207E1	2.174374708E1	1.918189977E1
2.763455536E1	2.199307275E1	1.962117002E1
2.813595916E1	2.223265692E1	2.003960415E1
2.863735409E1	2.246007654E1	2.044755410E1
2.913875790E1	2.268432986E1	2.086389580E1
2.964016170E1	2.289722373E1	2.125903620E1
3.014153500E1	2.309612837E1	2.162124522E1
3.064296932E1	2.328766178E1	2.197182592E1
3.114434261E1	2.347698780E1	2.233553951E1
3.164574642E1	2.365752201E1	2.267652409E1
3.214715023E1	2.382826756E1	2.299807236E1
3.264852352E1	2.399551719E1	2.332541182E1
3.314993181E1	2.415303046E1	2.363946161E1
3.365133562E1	2.430355247E1	2.393476983E1
3.415273942E1	2.445322522E1	2.422675547E1
3.465414323E1	2.459624508E1	2.451942843E1
3.515554704E1	2.473066263E1	2.478967593E1
3.565695085E1	2.485837109E1	2.503741379E1
3.615835466E1	2.497704179E1	2.526052780E1
3.665972795E1	2.509039339E1	2.549367456E1
3.716111325E1	2.520054702E1	2.572469431E1
3.766254758E1	2.530646636E1	2.593929459E1
3.816395139E1	2.541192903E1	2.615845746E1
3.866535519E1	2.551474349E1	2.636785889E1
3.916675900E1	2.561173077E1	2.656698911E1
3.966813229E1	2.570560837E1	2.677747644E1
4.016953610E1	2.578899083E1	2.695046827E1
4.067093991E1	2.587070368E1	2.711503053E1
4.117234372E1	2.595484782E1	2.728954114E1
4.167371701E1	2.602831539E1	2.743610274E1
4.217515134E1	2.609746646E1	2.757859731E1
4.267652463E1	2.616319252E1	2.772550667E1
4.317791449E1	2.622618224E1	2.785903145E1
4.367931830E1	2.628280400E1	2.798068656E1
4.418072211E1	2.633970745E1	2.811180587E1
4.518349921E1	2.644474780E1	2.834062000E1
4.568490302E1	2.648922412E1	2.843425774E1
4.618630683E1	2.653332455E1	2.852472916E1
4.668771064E1	2.657626825E1	2.861251740E1
4.718911444E1	2.661781017E1	2.869498912E1
4.769051825E1	2.665758950E1	2.877830293E1
4.819189154E1	2.669440149E1	2.886252071E1
4.869329535E1	2.672851122E1	2.894230778E1
4.919469916E1	2.676370246E1	2.901957017E1
4.969607245E1	2.679957141E1	2.909245508E1
5.019747626E1	2.683253423E1	2.917271561E1
5.069888007E1	2.685980324E1	2.923253264E1
5.120028388E1	2.688566578E1	2.927995671E1
5.170168769E1	2.690908543E1	2.933423742E1
5.220306098E1	2.692658137E1	2.937001185E1
5.270449530E1	2.694346685E1	2.941005087E1
5.320586747E1	2.695874341E1	2.943674639E1
5.370730180E1	2.697329260E1	2.947731287E1
5.420870561E1	2.698784899E1	2.950729992E1
5.471010942E1	2.700322754E1	2.954088241E1
5.521151323E1	2.701796139E1	2.957124194E1
5.571291703E1	2.703187609E1	2.960196229E1
5.621432084E1	2.704425749E1	2.962710098E1
5.671569413E1	2.705198338E1	2.964870053E1
5.721709794E1	2.706162787E1	2.967054528E1
5.771850175E1	2.706159025E1	2.966649536E1
5.821990556E1	2.640022181E1	2.844181361E1
5.872130937E1	2.533853550E1	2.614528287E1
5.922268266E1	2.431757254E1	2.414132424E1
5.972408647E1	2.333360961E1	2.226119830E1
6.022549028E1	2.238236982E1	2.045897321E1
6.072689409E1	2.145977474E1	1.880104575E1
6.122829789E1	2.056139998E1	1.658754752E1
6.172970170E1	1.969221031E1	1.673702101E1
6.223110551E1	1.884607941E1	1.373263651E1
6.273250932E1	1.802033428E1	1.353522437E1
6.323388943E1	1.720872022E1	1.190584420E1
6.373532375E1	1.642333773E1	1.099514420E1
6.423669704E1	1.564545710E1	9.988094145E0
6.473810085E1	1.488328459E1	9.031128018E0
6.523950466E1	1.413850353E1	8.154041316E0
6.574090847E1	1.340031544E1	7.336484590E0
6.624231228E1	1.267418887E1	6.564556338E0
6.674371609E1	1.195813469E1	5.856096586E0
6.724511989E1	1.124458974E1	5.186797621E0
6.774652370E1	1.054599667E1	4.581542313E0
6.824792751E1	9.851560418E0	4.000628600E0
6.874933132E1	9.161552416E0	3.466509572E0
6.925070461E1	8.468107805E0	2.978711560E0
6.975210842E1	7.789008534E0	2.539634086E0
7.025351223E1	7.099445975E0	2.126997562E0
7.075491604E1	6.407896267E0	1.750799205E0
7.125631985E1	5.709133953E0	1.408051822E0
7.175772365E1	5.026507801E0	1.118510848E0
7.225912746E1	4.263944689E0	8.348692241E-1
7.276053127E1	3.624983607E0	6.355781386E-1
7.326190385E1	2.859731609E0	4.468481146E-1
7.376330766E1	2.083380522E0	3.235920375E-1
7.426471147E1	1.279628868E0	1.541144055E-1
7.476611528E1	7.136623662E-1	1.696951230E-1
7.526751909E1	1.300544287E-2	2.588282192E-2
7.576892290E1	6.094509744E-4	7.159416567E-3
7.627029619E1	4.085420981E-4	4.395537666E-3
