"Time (s)"	"Angular velocity (rad/s)"	"Acceleration (m/s^2)"
5.457090040E-1	1.307002967E-3	3.523649118E-2
1.047051778E0	4.307284161E-4	8.403770066E-3
1.548425069E0	5.898961375E-4	5.323417260E-3
2.049767842E0	4.668415192E-4	7.902106467E-3
2.551141133E0	6.159117071E-4	2.491117143E-3
3.052483907E0	3.800217136E-4	2.342280549E-3
3.553857198E0	6.089215652E-4	3.934582929E-3
4.055199971E0	6.205921719E-4	3.741901969E-3
5.057916035E0	2.177622815E-4	1.640854270E-3
5.559289326E0	3.653713787E-4	2.981976114E-3
6.060662618E0	3.171601842E-4	3.756947835E-3
6.562005391E0	2.001639679E-4	2.412172491E-3
7.063348164E0	3.537065942E-4	9.559294747E-4
7.564721455E0	2.913871364E-1	4.576007674E-2
8.066064229E0	1.292639213E0	6.691147499E-2
8.567437520E0	2.266109679E0	2.467717566E-1
9.068820450E0	3.234265534E0	4.929302626E-1
9.570163223E0	4.340536019E0	8.391165142E-1
1.007150600E1	5.484142816E0	1.276260568E0
1.057287929E1	6.605123113E0	1.816802867E0
1.107425258E1	7.750365281E0	2.466541246E0
1.157559535E1	8.872375586E0	3.188250622E0
1.207696864E1	9.547698024E0	3.683386815E0
1.257834193E1	9.016645633E0	3.309326525E0
1.307968471E1	8.423237666E0	2.901232644E0
1.358105800E1	7.812475399E0	2.521043585E0
1.408240077E1	7.238737789E0	2.189592162E0
1.458377406E1	6.677283063E0	1.876114526E0
1.508514735E1	6.744522415E0	1.899975716E0
1.558649013E1	6.978319326E0	2.026338433E0
1.608786342E1	7.234504653E0	2.165822497E0
1.658923671E1	7.488443882E0	2.315068062E0
1.709057948E1	7.777042604E0	2.488168712E0
1.759195277E1	8.142235414E0	2.709898731E0
1.809332606E1	8.514144143E0	2.949327441E0
1.859466884E1	8.894986739E0	3.211968555E0
1.909605243E1	9.285150712E0	3.483754910E0
1.959742572E1	9.667767600E0	3.765468273E0
2.009879901E1	1.005101178E1	4.062377026E0
2.060014178E1	1.042895369E1	4.373224048E0
2.110151507E1	1.080449560E1	4.691151149E0
2.160285785E1	1.117012728E1	5.005831374E0
2.210420062E1	1.153588632E1	5.320682398E0
2.260560443E1	1.189206015E1	5.654551848E0
2.310694720E1	1.224415062E1	5.985518985E0
2.360832049E1	1.259100554E1	6.316911497E0
2.410966327E1	1.293139052E1	6.658187277E0
2.461103656E1	1.326454524E1	7.013248471E0
2.511240985E1	1.359096263E1	7.353926950E0
2.561378314E1	1.391487469E1	7.707598691E0
2.611512591E1	1.422876207E1	8.055745546E0
2.661649920E1	1.453723057E1	8.400836370E0
2.711784198E1	1.483644062E1	8.741937629E0
2.761921527E1	1.513113576E1	9.095548083E0
2.812058856E1	1.542019536E1	9.442199059E0
2.862193133E1	1.570193006E1	9.777277495E0
2.912329609E1	1.597702456E1	1.011889271E1
2.962463886E1	1.624747651E1	1.045182009E1
3.012604267E1	1.651169209E1	1.079225947E1
3.062738544E1	1.676909935E1	1.112752758E1
3.112875873E1	1.701832895E1	1.146155625E1
3.163010151E1	1.726317820E1	1.179345867E1
3.213147480E1	1.750437807E1	1.211923648E1
3.263284809E1	1.773845325E1	1.244129395E1
3.313419086E1	1.796845270E1	1.276430936E1
3.363556415E1	1.819166291E1	1.308393224E1
3.413693744E1	1.840993887E1	1.339582594E1
3.463828022E1	1.862211064E1	1.370340625E1
3.513965351E1	1.882928676E1	1.399745582E1
3.564102680E1	1.902861130E1	1.429201935E1
3.614236957E1	1.922482808E1	1.459516882E1
3.664374286E1	1.941572202E1	1.488609308E1
3.714508564E1	1.960143107E1	1.516298935E1
3.764646228E1	1.977936659E1	1.543654994E1
3.814780506E1	1.995348869E1	1.570391174E1
3.864914783E1	2.012557008E1	1.597037873E1
3.915054260E1	2.029145438E1	1.623194316E1
3.965191589E1	2.045322916E1	1.649210120E1
4.015328918E1	2.061028003E1	1.674811553E1
4.065466247E1	2.076173588E1	1.700010395E1
4.115600524E1	2.091127680E1	1.723919258E1
4.165737853E1	2.105555105E1	1.747866432E1
4.215875182E1	2.119503922E1	1.770353426E1
4.266009460E1	2.133257205E1	1.793231297E1
4.316146789E1	2.146611690E1	1.816186376E1
4.366284118E1	2.159667910E1	1.838722160E1
4.416418395E1	2.172182877E1	1.859718949E1
4.466555724E1	2.184211264E1	1.880471451E1
4.516693054E1	2.195925129E1	1.901097197E1
4.566827331E1	2.207277415E1	1.920607644E1
4.616965194E1	2.218565351E1	1.939757181E1
4.667102523E1	2.229561484E1	1.958688917E1
4.717236800E1	2.240185465E1	1.977488616E1
4.767374130E1	2.250378643E1	1.995403730E1
4.817511459E1	2.260288634E1	2.012232395E1
4.867648788E1	2.270122837E1	2.029741006E1
4.917783096E1	2.279567712E1	2.046341989E1
4.967920425E1	2.288610676E1	2.062231582E1
5.018057754E1	2.297207050E1	2.078027195E1
5.068192031E1	2.305677966E1	2.094054524E1
5.118329360E1	2.314154294E1	2.110211510E1
5.168466690E1	2.322104491E1	2.124701608E1
5.218600967E1	2.329860006E1	2.138315595E1
5.318875625E1	2.344374618E1	2.164667440E1
5.369009902E1	2.351408714E1	2.177356634E1
5.419147232E1	2.358218155E1	2.189376954E1
5.469281509E1	2.364624024E1	2.200917945E1
5.519421890E1	2.371155014E1	2.212869861E1
5.569556167E1	2.377457760E1	2.224859222E1
5.619690444E1	2.383522195E1	2.236783118E1
5.669830825E1	2.389416202E1	2.247633984E1
5.719965103E1	2.394955146E1	2.257928166E1
5.770102432E1	2.400594869E1	2.268414285E1
5.820239761E1	2.406037533E1	2.278569012E1
5.870377090E1	2.411203997E1	2.288327430E1
5.920510902E1	2.416171048E1	2.297647105E1
5.970648232E1	2.421087591E1	2.306315085E1
6.020785561E1	2.425818932E1	2.315432754E1
6.070919838E1	2.430366511E1	2.323847386E1
6.121054115E1	2.434660139E1	2.331905194E1
6.171194496E1	2.438915284E1	2.340690710E1
6.221328774E1	2.442934502E1	2.348347014E1
6.271466103E1	2.446814011E1	2.356120975E1
6.321603432E1	2.450335019E1	2.362675135E1
6.371737709E1	2.453722392E1	2.370027685E1
6.421878090E1	2.457249914E1	2.376615667E1
6.472012367E1	2.460572810E1	2.382845435E1
6.522149696E1	2.463581632E1	2.388447674E1
6.572283974E1	2.466557995E1	2.394437007E1
6.622421303E1	2.469574236E1	2.400489369E1
6.672558632E1	2.472340008E1	2.406056516E1
6.722695961E1	2.475131544E1	2.411693767E1
6.772833290E1	2.477956057E1	2.417096524E1
6.822967567E1	2.480784102E1	2.422478293E1
6.873104896E1	2.483590729E1	2.427366562E1
6.923241783E1	2.486265944E1	2.432247091E1
6.973376060E1	2.488671739E1	2.436704273E1
7.023513389E1	2.490930674E1	2.440784050E1
7.073650718E1	2.493117430E1	2.445416306E1
7.123784996E1	2.495274699E1	2.449808062E1
7.173919273E1	2.497262652E1	2.453591901E1
7.224056602E1	2.496872973E1	2.453601638E1
7.274193931E1	2.435445874E1	2.355983916E1
7.324331260E1	2.347731919E1	2.179461441E1
7.374465538E1	2.261988138E1	2.010167000E1
7.424602867E1	2.177823413E1	1.890074436E1
7.474740196E1	2.095276540E1	1.721425278E1
7.524874473E1	2.014637595E1	1.597554275E1
7.575011802E1	1.935090959E1	1.481669330E1
7.625149131E1	1.857090395E1	1.361290616E1
7.675283409E1	1.780336776E1	1.253983058E1
7.725420738E1	1.705222218E1	1.150992734E1
7.775558067E1	1.631224129E1	1.054287658E1
7.825695396E1	1.558628505E1	9.643356986E0
7.875829673E1	1.487231278E1	8.793341021E0
7.925966590E1	1.416597672E1	7.991888372E0
7.976103919E1	1.347451091E1	7.239242047E0
8.026241248E1	1.279078555E1	6.524508456E0
8.076375526E1	1.211833178E1	5.873145971E0
8.126512855E1	1.145231131E1	5.252859415E0
8.176647132E1	1.080080784E1	4.693261485E0
8.226787513E1	1.014671276E1	4.153275893E0
8.276924842E1	9.506296099E0	3.655855356E0
8.327059119E1	8.871461842E0	3.202491497E0
8.377196449E1	8.241221092E0	2.774821049E0
8.427330726E1	7.619406855E0	2.404101020E0
8.477468055E1	6.987243955E0	2.039735804E0
8.527605384E1	6.385267765E0	1.724578339E0
8.577742713E1	5.758622050E0	1.424064523E0
8.627880042E1	5.179671106E0	1.174819111E0
8.678014320E1	4.487150363E0	9.155857164E-1
8.728151649E1	3.957073235E0	7.487273467E-1
8.778288978E1	3.302409580E0	5.716196567E-1
8.828426307E1	2.570796736E0	3.918478694E-1
8.878563636E1	1.967025972E0	3.217059265E-1
8.928701742E1	1.496316380E0	1.766330494E-1
8.978839072E1	8.504517837E-1	1.931310768E-1
9.028973349E1	3.014510570E-3	6.113368993E-2
9.079110678E1	1.391068452E-1	4.302147465E-3
9.129248007E1	8.082265855E-2	1.094502987E-2
9.179382284E1	3.548759115E-2	8.842898203E-3
